	 SK네트웍스 Family AI 캠프 21기 커리큘럼							교과목별 시간				
	수업일자	일수	교과목	내용		제공 리소스		교과구분	교과목명	세부내용	편성시간	편성시간 합계
	2026년 2월 11일 수요일	90	최종프로젝트									
	2026년 2월 12일 목요일	91	최종프로젝트									
	2026년 2월 13일 금요일	92	최종프로젝트									
	2026년 2월 19일 목요일	93	최종프로젝트									
	2026년 2월 20일 금요일	94	최종프로젝트									
	2026년 2월 23일 월요일	95	최종프로젝트									
	2026년 2월 24일 화요일	96	최종프로젝트									
	2026년 2월 25일 수요일	97	최종프로젝트									
	2026년 2월 26일 목요일	98	최종프로젝트									
	2026년 2월 27일 금요일	99	최종프로젝트									
	2026년 3월 2일 월요일	100	최종프로젝트									
	2026년 3월 3일 화요일	101	최종프로젝트									
	2026년 3월 4일 수요일	102	최종프로젝트									
	2026년 3월 5일 목요일	103	최종프로젝트									
	2026년 3월 6일 금요일	104	최종프로젝트									
	2026년 3월 9일 월요일	105	최종프로젝트									
	2026년 3월 10일 화요일	106	최종프로젝트									
	2026년 3월 11일 수요일	107	최종프로젝트									
	2026년 3월 12일 목요일	108	최종프로젝트									
	2026년 3월 13일 금요일	109	최종프로젝트									
	2026년 3월 16일 월요일	110	최종프로젝트									
	2026년 3월 17일 화요일	111	최종프로젝트									
	2026년 3월 18일 수요일	112	최종프로젝트									
	2026년 3월 19일 목요일	113	최종프로젝트									
	2026년 3월 20일 금요일	114	최종프로젝트									
	2026년 3월 23일 월요일	115	최종프로젝트									
	2026년 3월 24일 화요일	116	최종프로젝트									
	2026년 3월 25일 수요일	117	최종프로젝트									
	2026년 3월 26일 목요일	118	최종프로젝트									
	2026년 3월 27일 금요일	119	최종프로젝트									
	2026년 3월 30일 월요일	120	최종프로젝트									
